Hereditary chronic pancreatitis,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Fraser syndrome,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Autosomal recessive malignant osteopetrosis,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Birdshot chorioretinopathy,{'Deletion': '17.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '73.0%'}
Quebec platelet disorder,{'Deletion': '1.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '96.0%'}
Classic Hodgkin lymphoma,{'Deletion': '8.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '92.0%'}
Familial lipoprotein lipase deficiency,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '91.0%'}
Endometrioid carcinoma of ovary,{'Deletion': '12.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '88.0%'}
Craniopharyngioma,{'Deletion': '14.000000000000002%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '86.0%'}
Peroxisome biogenesis disorder,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Kleine-Levin syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
FKRP-related  limb-girdle muscular dystrophy R9,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Pyoderma gangrenosum,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '92.0%'}
Sanfilippo syndrome type D,{'Deletion': '7.000000000000001%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Inherited epidermolysis bullosa,{'Deletion': '8.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
AL amyloidosis,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Paramyotonia congenita of Von Eulenburg,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Thomsen and Becker disease,{'Deletion': '6.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '89.0%'}
